University of Alabama at Birmingham,UAB,UAB,Blazers,Conference USA
"University of California, Davis",UC Davis,UCDavis,Aggies,Big West
"University of California, Irvine",UC Irvine,UCIrvine,Anteaters,Big West
"University of California, Riverside",UC Riverside,CaliforniaRiverside,Highlanders,Big West
"University of California, Santa Barbara",UC Santa Barbara,UCSB,Gauchos,Big West
"University of California, Los Angeles",UCLA,UCLA,Bruins,Pac-12
University of Illinois at Chicago,UIC,IllinoisChicago,Flames,Horizon League
University of Massachusetts Lowell,UMass Lowell,,River Hawks,America East
"University of Maryland, Baltimore County",UMBC,UMBC,Retrievers,America East
University of Missouri–Kansas City,UMKC,UMKC,Kangaroos,WAC
University of North Carolina at Asheville,UNC Asheville,NCAsheville,Bulldogs,Big South
University of North Carolina at Greensboro,UNC Greensboro,NCGreensboro,Spartans,Southern
University of North Carolina at Wilmington,UNC Wilmington,NCWilmington,Seahawks,CAA
University of Houston,Houston,Houston,Cougars,The American
University of Maryland Eastern Shore,UMES,MDEasternShore,Hawks,MEAC
University of Memphis,Memphis,Memphis,Tigers,The American
University of Montana,Montana,Montanna,Grizzlies,Big Sky
University of North Carolina at Charlotte,Charlotte,Charlotte,49ers,Conference USA
University of North Dakota,North Dakota,NorthDakota,North Dakota,Big Sky
University of North Florida,North Florida,NorthFlorida,Ospreys,Atlantic Sun
University of Northern Colorado,Northern Colorado,NorthernColorado,Bears,Big Sky
University of Northern Iowa,Northern Iowa,NorthernIowa,Panthers,Missouri Valley
University of South Dakota,South Dakota,SouthDakota,Coyotes,The Summit
University of Texas at Arlington,Texas–Arlington,TXArlington,Mavericks,Sun Belt
University of the Incarnate Word,Incarnate Word,,Cardinals,Southland
University of Tulsa,Tulsa,Tulsa,Golden Hurricane,The American
University of Wisconsin–Madison,Wisconsin,Wisconsin,Badgers,Big Ten
University of Wyoming,Wyoming,Wyoming,Cowboys,Mountain West
"University of Nevada, Las Vegas",UNLV,UNLV,Runnin' Rebels,Mountain West
University of Southern California,USC,USC,Trojans,Pac-12
University of Utah,Utah,Utah,Utes,Pac-12
Utah State University,Utah State,UtahSt,Aggies,Mountain West
Utah Valley University,Utah Valley,UtahValleyU,Wolverines,WAC
University of Texas at El Paso,UTEP,UTEP,Miners,Conference USA
University of Texas at San Antonio,UTSA,UTSA,Roadrunners,Conference USA
University of Vermont,UVM,Vermont,Catamounts,America East
Valparaiso University,Valparaiso,Valparaiso,Crusaders,Horizon League
Vanderbilt University,Vanderbilt,Vanderbilt,Commodores,SEC
Virginia Commonwealth University,VCU,VirginiaCommonwealth,Rams,A-10
Villanova University,Villanova,Villanova,Wildcats,Big East
University of Virginia,Virginia,Virginia,Cavaliers,ACC
Virginia Polytechnic Institute and State University,Virginia Tech,VirginiaTech,Hokies,ACC
Virginia Military Institute,VMI,VirginiaMillitary,Keydets,Southern
Wagner College,Wagner,Wagner,Seahawks,Northeast
Wake Forest University,Wake Forest,WakeForest,Demon Deacons,ACC
University of Washington,Washington,Washington,Huskies,Pac-12
Washington State University,Washington State,WashingtonSt,Cougars,Pac-12
Weber State University,Weber State,WeberSt,Wildcats,Big Sky
West Virginia University,West Virginia,WestVirginia,Mountaineers,Big 12
Western Carolina University,Western Carolina,WesternCarolina,Catamounts,Southern
Western Illinois University,Western Illinois,WesternIllinois,Leathernecks,The Summit
Western Kentucky University,Western Kentucky,WKU,Hilltoppers,Conference USA
Western Michigan University,Western Michigan,WMichigan,Broncos,MAC
Wichita State University,Wichita State,WichitaState,Shockers,Missouri Valley
College of William and Mary,William & Mary,WilliamMary,Tribe,CAA
Winthrop University,Winthrop,Winthrop,Eagles,Big South
Wofford College,Wofford,Wofford,Terriers,Southern
Wright State University,Wright State,WrightSt,Raiders,Horizon League
Xavier University,Xavier,Xavier,Musketeers,Big East
Yale University,Yale,Yale,Bulldogs,Ivy League
Youngstown State University,Youngstown State,YoungstownSt,Penguins,Horizon League
